brand_name,category,approximate_msrp,your_price,availability_status,notes
Maison Francis Kurkdjian,fragrance,325,130,in_stock,Baccarat Rouge 540 highest demand
Tom Ford,fragrance,280,112,in_stock,Private Blend line most popular
Creed,fragrance,445,178,limited,Aventus most requested
Parfums de Marly,fragrance,315,126,in_stock,Layton and Delina top sellers
Initio,fragrance,310,124,in_stock,Side Effect and Oud for Greatness
Xerjoff,fragrance,350,140,limited,Niche line — Alexandria II popular
Byredo,fragrance,295,118,in_stock,Gypsy Water and Mojave Ghost
Le Labo,fragrance,270,108,in_stock,Santal 33 flagship
Amouage,fragrance,365,146,in_stock,Interlude and Reflection
Kilian,fragrance,295,118,in_stock,Love Don't Be Shy top seller
Dior,fragrance,165,66,in_stock,Sauvage and Miss Dior mainstream but high volume
Chanel,fragrance,155,62,limited,No. 5 and Bleu de Chanel
Versace,fragrance,95,38,in_stock,Eros and Dylan Blue high volume
YSL,fragrance,140,56,in_stock,Libre and Black Opium
Giorgio Armani,fragrance,135,54,in_stock,Acqua di Gio and Si
La Mer,cosmetics,380,152,limited,Creme de la Mer flagship
Charlotte Tilbury,cosmetics,49,20,in_stock,Pillow Talk line most popular
Tom Ford Beauty,cosmetics,88,35,in_stock,Lip Color and Eye Color Quad
NARS,cosmetics,38,15,in_stock,Orgasm blush iconic
MAC,cosmetics,23,9,in_stock,High volume basics
Estee Lauder,cosmetics,45,18,in_stock,Advanced Night Repair top SKU
Gucci,clothing,1200,480,limited,Seasonal drops
Burberry,clothing,890,356,in_stock,Classic check and trench
Moncler,clothing,1950,780,limited,Puffer jackets seasonal
Canada Goose,clothing,1395,558,in_stock,Parkas year-round demand
